Ime,Kraj,Leto,Moc [kW],Regija
Samooskrba,Črnomelj,2017,10,Dolenjska
Samooskrba,Šmarješke Toplice,2017,7,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Novo mesto,2017,7,Dolenjska
Samooskrba,Dolenjske Toplice,2017,10,Dolenjska
Samooskrba,Šentjernej,2017,10,Dolenjska
Samooskrba,Novo mesto,2017,8,Dolenjska
Samooskrba,Metlika,2017,5,Dolenjska
Samooskrba,Šmarješke Toplice,2017,8,Dolenjska
Samooskrba,Šentjernej,2017,9,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Gradac,2017,10,Dolenjska
Samooskrba,Novo mesto,2017,10,Dolenjska
Samooskrba,Novo mesto,2017,10,Dolenjska
Samooskrba,Mirna,2017,10,Dolenjska
Samooskrba,Sevnica,2017,11,Dolenjska
Samooskrba,Kapele,2017,9.975,Dolenjska
Samooskrba,Cerklje ob Krki,2017,7.41,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Mirna,2017,10,Dolenjska
Samooskrba,Novo mesto,2017,10,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Sevnica,2017,9.12,Dolenjska
Samooskrba,Veliki Gaber,2017,10,Dolenjska
Samooskrba,Mirna,2017,10,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Črnomelj,2017,10,Dolenjska
Samooskrba,Raka,2017,4.24,Dolenjska
Samooskrba,Trebelno,2017,11,Dolenjska
Samooskrba,Mokronog,2017,11,Dolenjska
Samooskrba,Zabukovje,2017,3.7,Dolenjska
Samooskrba,Brestanica,2017,7,Dolenjska
Samooskrba,Uršna sela,2017,10,Dolenjska
Samooskrba,Blanca,2017,2.5,Dolenjska
Samooskrba,Gradac,2017,10,Dolenjska
Samooskrba,Sevnica,2017,3.14,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Metlika,2017,9,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Šentrupert,2017,6.27,Dolenjska
Samooskrba,Mirna,2017,11,Dolenjska
Samooskrba,Artiče,2017,11,Dolenjska
Samooskrba,Sevnica,2017,5.99,Dolenjska
Samooskrba,Pišece,2017,11,Dolenjska
Samooskrba,Pišece,2017,11,Dolenjska
Samooskrba,Leskovec pri Krškem,2017,8,Dolenjska
Samooskrba,Globoko,2017,7.83,Dolenjska
Samooskrba,Pišece,2017,7.42,Dolenjska
Samooskrba,Krško,2017,10,Dolenjska
Samooskrba,Mirna,2017,10,Dolenjska
Samooskrba,Boštanj,2017,11,Dolenjska
Samooskrba,Dobova,2018,11,Dolenjska
Samooskrba,Šentjanž,2018,10,Dolenjska
Samooskrba,Šentjanž,2018,11,Dolenjska
Samooskrba,Sevnica,2018,9,Dolenjska
Samooskrba,Zabukovje,2018,9,Dolenjska
Samooskrba,Pišece,2018,11,Dolenjska
Samooskrba,Sromlje,2018,11,Dolenjska
Samooskrba,Krmelj,2018,11,Dolenjska
Samooskrba,Škocjan,2018,11,Dolenjska
Samooskrba,Cerklje ob Krki,2018,11,Dolenjska
Samooskrba,Krško,2018,10,Dolenjska
Samooskrba,Boštanj,2018,9,Dolenjska
Samooskrba,Sevnica,2018,11,Dolenjska
Samooskrba,Jesenice na Dolenjskem,2018,6,Dolenjska
Samooskrba,Krško,2018,10,Dolenjska
Samooskrba,Šentrupert,2018,11,Dolenjska
Samooskrba,Leskovec pri Krškem,2018,10,Dolenjska
Samooskrba,Brežice,2018,6,Dolenjska
Samooskrba,Šentrupert,2018,11,Dolenjska
Samooskrba,Dobova,2018,7.5,Dolenjska
Samooskrba,Sevnica,2018,5.13,Dolenjska
Samooskrba,Leskovec pri Krškem,2018,11,Dolenjska
Samooskrba,Artiče,2018,10,Dolenjska
Samooskrba,Veliki Gaber,2018,10,Dolenjska
Samooskrba,Črnomelj,2018,10,Dolenjska
Samooskrba,Dolenjske Toplice,2018,10,Dolenjska
Samooskrba,Trebnje,2018,9,Dolenjska
Samooskrba,Suhor,2018,10,Dolenjska
Samooskrba,Suhor,2018,10,Dolenjska
Samooskrba,Mirna,2018,10,Dolenjska
Samooskrba,Šentjernej,2018,10,Dolenjska
Samooskrba,Otočec,2018,10,Dolenjska
Samooskrba,Novo mesto,2018,10,Dolenjska
Samooskrba,Novo mesto,2018,10,Dolenjska
Samooskrba,Šentjanž,2018,11,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Novo mesto,2018,10,Dolenjska
Samooskrba,Šmarješke Toplice,2018,10,Dolenjska
Samooskrba,Novo mesto,2018,9,Dolenjska
Samooskrba,Mirna Peč,2018,9,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Novo mesto,2018,7,Dolenjska
Samooskrba,Šentjernej,2018,10,Dolenjska
Samooskrba,Dolenjske Toplice,2018,10,Dolenjska
Samooskrba,Črnomelj,2018,10,Dolenjska
Samooskrba,Novo mesto,2018,9,Dolenjska
Samooskrba,Stopiče,2018,10,Dolenjska
Samooskrba,Novo mesto,2018,15,Dolenjska
Samooskrba,Žužemberk,2018,10,Dolenjska
Samooskrba,Straža,2018,15,Dolenjska
Samooskrba,Dvor,2018,10,Dolenjska
Samooskrba,Šmarješke Toplice,2018,15,Dolenjska
Samooskrba,Črnomelj,2018,15,Dolenjska
Samooskrba,Gradac,2018,15,Dolenjska
Samooskrba,Gradac,2018,15,Dolenjska
Samooskrba,Šentjernej,2018,15,Dolenjska
Samooskrba,Velika Loka,2018,7,Dolenjska
Samooskrba,Novo mesto,2018,10,Dolenjska
Samooskrba,Velika Loka,2018,10,Dolenjska
Samooskrba,Škocjan,2018,15,Dolenjska
Samooskrba,Novo mesto,2018,10,Dolenjska
Samooskrba,Škocjan,2018,10,Dolenjska
Samooskrba,Črnomelj,2018,10,Dolenjska
Samooskrba,Metlika,2018,15,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Novo mesto,2018,10,Dolenjska
Samooskrba,Gradac,2018,10,Dolenjska
Samooskrba,Metlika,2018,10,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Škocjan,2018,15,Dolenjska
Samooskrba,Dragatuš,2018,10,Dolenjska
Samooskrba,Suhor,2018,10,Dolenjska
Samooskrba,Šentrupert,2018,11,Dolenjska
Samooskrba,Dobrnič,2018,10,Dolenjska
Samooskrba,Trebelno,2018,10.98,Dolenjska
Samooskrba,Mokronog,2018,11,Dolenjska
Samooskrba,Senovo,2018,11,Dolenjska
Samooskrba,Leskovec pri Krškem,2018,9.41,Dolenjska
Samooskrba,Podbočje,2018,11,Dolenjska
Samooskrba,Brežice,2018,10.8,Dolenjska
Samooskrba,Bizeljsko,2018,11,Dolenjska
Samooskrba,Mirna,2018,11,Dolenjska
Samooskrba,Sevnica,2018,9.9,Dolenjska
Samooskrba,Artiče,2018,11.16,Dolenjska
Samooskrba,Kostanjevica na Krki,2018,11,Dolenjska
Samooskrba,Leskovec pri Krškem,2018,11,Dolenjska
Samooskrba,Podbočje,2018,11,Dolenjska
Samooskrba,Leskovec pri Krškem,2018,11,Dolenjska
Samooskrba,Bizeljsko,2018,10.8,Dolenjska
Samooskrba,Koprivnica,2018,10,Dolenjska
Samooskrba,Krško,2018,10.8,Dolenjska
Samooskrba,Bizeljsko,2018,11,Dolenjska
Samooskrba,Krško,2018,8.25,Dolenjska
